A state assesses a poll tax on people for registration to vote to elect state legislators. A group of minority citizens sues the state alleging denial of equal protection in that the right to vote cannot be based on the ability to pay a poll tax. The group does not present any evidence that the purpose of adopting the tax was to discriminate. There is no evidence of any specific effect that the tax has had on any class of people. Will the group succeed in striking down the tax?,"No, the mere fact that a law results in treating some groups differently from others does not automatically amount to a violation of the Equal Protection Clause.","No, because this is a state tax that does not apply to voting for federal candidates, and it is therefore exempt from the Equal Protection Clause.","Yes, because the tax impedes the substantive due process right of every citizen to vote.","Yes, because the tax discriminates against poor people who will be less able to afford paying it, thus denying them equal protection of the laws.",D
Under which of the following situations would imposition of the death penalty most likely be justified in light of constitutional considerations?,"A defendant, a convict in prison, stabbed a prison guard to death and by statute is mandated to receive the death penalty. ",A defendant kidnapped and sexually assaulted a 12-year-old girl for a week before the defendant was arrested.,"A defendant raped his victim and then savagely beat her with a baseball bat, causing her to suffer permanent brain damage. ",A defendant shot and killed a police officer during an attempted bank robbery.,D
A survey was conducted to determine the percentage of parents who would support raising the legal driving age to 18. The results were stated as 67% with a margin of error of ±3%. What is meant by ±3%?,Three percent of the population were not surveyed.,"In the sample, the percentage of parents who would support raising the driving age is between 64% and 70%.",The percentage of the entire population of parents who would support raising the driving age is between 64% and 70%.,It is unlikely that the given sample proportion result could be obtained unless the true percentage was between 64% and 70%.,D
"Two variables, xand y, seem to be exponentially related. The natural logarithm of each yvalue is taken and the least-squares regression line of ln(y) on xis determined to be ln(y) = 3.2 + 0.42x. What is the predicted value of ywhen x= 7?",464.05,1380384.27,521.35,6.14,A
Which of the following are examples of continuous data? I. The speed your car goes II. The number of outcomes of a binomial experiment III. The average temperature in San Francisco IV. The wingspan of a bird V. The jersey numbers of a football team,"I, III, and IV only",II and V only,"I, III, and V only","II, III, and IV only",A
What is an alternate name for the food dish 'Beijing duck'?,Shanghai duck,Peking duck,Hong Kong duck,Brooklyn duck,B
What is the principal ingredient in traditional cole slaw?,Lettuce,Spinach,Cabbage,Chicory,C
What is another name for the camelopard?,circus,giraffe,cantaloupe,oasis,B
Which of the following is most commonly kept in a terrarium?,money,books,ice,plants,D
What is the oldest continuously run sporting event in the United States?,Westminster Dog Show,Boston Marathon,Kentucky Derby,Indianapolis 500,C
Which of the following skills must be mastered before a child can learn to skip?,Hopping,Running,Walking backward,Crab walking,A
What football player was known as 'The Galloping Ghost'?,Jim Thorpe,Dick Butkus,Red Grange,George Halas,C
What is the singular form of the word 'graffiti'?,graffita,graffitem,graffito,graffitus,C
According to Greek mythology who was Apollo's twin sister?,Aphrodite,Artemis,Venus,Athena,B
Which 'Rocky' film features Mr T?,'Rocky II','Rocky III','Rocky IV','Rocky ',B
In Mister Rogers' theme song what does he ask you to be?,his cook,his student,his neighbor,all you can be,C
"When $\sqrt[3]{-128}$ is simplified, the result is $a\sqrt[3]{b}$, where $a$ is an integer, and $b$ is a positive integer. If $b$ is as small as possible, then what is $a+b$?",2,-4,6,-2,D
"Joe's batting average is .323. (That is, he averages 0.323 hits per at bat.) What is the probability that he will get three hits in three at-bats? Express your answer as a decimal to the nearest hundredth.",0.03,0.01,0.3,0.1,A
"If f : (x, y) → (x + y, 2y – x) for every coordinate pair in the xy-plane, for what points (x, y) is it true that f : (x, y) → (x, y)?","(0, 0) only","The set of points (x, y) such that x = 0","The set of points (x, y) such that y = 0","The set of points (x, y) such that x = y",A
The bulk of the research evidence suggests that:,all women have a G-spot,all women with a G-spot ejaculate,all women with a G-spot also have a prostate gland,none of the above,D
"A car travelling at a speed of v0 applies its brakes, skidding to a stop over a distance of x m. Assuming that the deceleration due to the brakes is constant, what would be the skidding distance of the same car if it were traveling with twice the initial speed?",2x m,3x m,4x m,8x m,C
"An arrow is aimed horizontally, directly at the center of a target 20 m away. The arrow hits 0.050 m below the center of the target. Neglecting air resistance, what was the initial speed of the arrow?",20 m/s,40 m/s,100 m/s,200 m/s,D
"Church's thesis equates the concept of ""computable function"" with those functions computable by, for example, Turing machines. Which of the following is true of Church's thesis?",It was first proven by Alan Turing.,"It has not yet been proven, but finding a proof is a subject of active research.",It can never be proven.,It is now in doubt because of the advent of parallel computers.,C
Which of the following changes in a gamete is most likely to lead to a heritable change in a protein?,Deleting two nucleotides from the middle of an intron,Deleting two nucleotides immediately upstream of a gene promoter,Inserting two nucleotides in the genome at the beginning of a codon,Adding two nucleotides to the poly(A) tail of an mRNA,C
This biome is the driest of the land biomes and experiences the greatest daily temperature fluctuations.,Desert,Tundra,Taiga,Deciduous forests,A
Similar evolutionary changes occurring in two species that can be related or unrelated.,Divergent evolution,Convergent evolution,Parallel evolution,Coevolution,C
"High fructose corn syrup (HFCS) is a sweetener containing fructose that is derived from corn starch and often added to soft drinks. Which of the following reactions would most likely be involved in the production of HFCS? (The letter ""n"" indicates multiple copies of a molecule in a polymer.)",(glucose)n → polysaccharide,sucrose → fructose + glucose,glucose → fructose,starch → (fructose)n,C
"If the finite group G contains a subgroup of order five but no element of G other than the identity is its own inverse, then the order of G could be",8,20,30,35,D
Which definition best describes media convergence?,The conglomeration of media outlets into large corporations.,The way in which all media outlets post similar content to their competitors.,The many differing views and cultures expressed in modern media.,Information being delivered in different formats via various digital channels.,D
A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,upper lobe of the lung.,middle lobe of the lung.,lower lobe of the lung.,costo-diaphragmatic recess.,C
"As of 2014, about what percentage of primary aged children in Sub-Saharan Africa were out-of-school?",10%,20%,35%,50%,B
Some recent work has found an association between obesity and,Shorter telomere strands,Tobacco use,Excess alcohol use,Skin cancers,A
Which of the following is an example of accumulating garbage?,Raw glucose,Lipofuscin,Collagen,SOD,B
"Over the adult years, environment seems to play a bigger role than genetics in",The stability of personality traits,Longevity,Alzheimer's dementia,Environment never plays a bigger role,B
You cool a blackbody to half its original temperature. How does its spectrum change?,Power emitted is 1/16 times as high; peak emission wavelength is 1/2 as long.,Power emitted is 1/4 times as high; peak emission wavelength is 2 times longer.,Power emitted is 1/4 times as high; peak emission wavelength is 1/2 as long.,Power emitted is 1/16 times as high; peak emission wavelength is 2 times longer.,D
The mass of Saturn's rings is 2x1019 kg. What is the ratio of this mass to that of a 200 km diameter spherical moon made entirely of water-ice (density ~ 1 g/cm3)? That is what is Mrings : Micy moon?,1 : 1,50 : 1,5 : 1,0.5 : 1,C
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,"True, True","False, False","True, False","False, True",C
"In the short run, the shut down price is equal to",minimum point on average total cost.,maximum point on average total cost.,minimum point on average variable cost.,maximum point on average variable cost.,C
"If average household income rises and we observe that the demand for pork chops increases, pork chops must be",an inferior good.,a normal good.,a surplus good.,a public good.,B
"If, as the price of a particular good increases, the added satisfaction of each additional unit of this good for the consumer decreases, which of the following correctly identifies the concept?",Diminishing marginal productivity.,Diminishing marginal utility.,Increasing marginal utility.,Increasing marginal productivity.,B
Congress's power to determine national policy,"usually increases as a president's popularity decreases, and vice versa",has declined steadily since the ratification of the Constitution,"is severely limited by the ""elastic clause"" of the Constitution",increases during times of war,A
An appointment to which of the following offices is NOT subject to confirmation by the U.S. Senate?,Securities and Exchange commissioner,Secretary of the Interior,White House Chief of Staff,Administrator of the Environmental Protection Agency,C
Which is the easiest way to burn a silver coin?,"Hold the silver coin with crucible tongs, and heat strongly in the flame of a Bunsen burner.","Use the method in (A), but use an oxyacetylene torch to reach a higher temperature.","Grind the silver coin into very small, dust-sized particles, and spray the particles into a Bunsen burner flame.","Dissolve the silver coin in acid, precipitate the hydroxide, and heat in a Bunsen burner flame to make the oxide.",C
The rate law for the reaction of 2 A + B → 2 P is,impossible to determine without experimental data,[A]2[B],k[A]2[B],second order with respect to A,A
"A large hospital maintains a list of patients’ records in no particular order. To find the record of a given patient, which represents the most efficient method that will work?",Do a sequential search on the name field of the records.,Do a binary search on the name field of the records.,Use insertion sort to sort the records alphabetically by name; then do a sequential search on the name field of the records.,Usemergesort to sort the records alphabetically by name; then do a sequential search on the name field of the records.,A
"This question refers to the following information.
This ruler of Syria made me spend many years as commander of his army,
Every land to which I turned
I overcame.
I destroyed its green fields and its wells,
I captured its cattle, I took captive its inhabitants, I deprived them of their provisions,
and I slew [many] people…by my sword, my bow, my marchings, and my good devices.
Thus my excellence was in his heart; he loved me and he knew my valor;
…he set me at the head of his sons, when he saw the success of my handiwork.
There came a champion of Syria
to defy me in my tent;
a bold man without equal, for he had vanquished all his rivals.
He said, ""Let Sanehat fight with me.""
He thought to overcome me; he designed to take my cattle, thus being counseled by his tribe.
The Tale of Sanehat, Egyptian poem written during the Middle Kingdom, ca.1800 B.C.E.
Which of the following developments in early urban societies in Mesopotamia and Egypt is most directly supported by the passage?",The militarism of early Mesopotamian polities,The creation of long distance trade routes,The specialization of labor,The stratification of the population along social lines,A
"This question refers to the following information.
Meng Yizi asked about the treatment of parents. The Master said, ""Never disobey!"" When Fan Chi was driving his carriage for him, [he asked], ""In what sense did you mean this?"" The Master said, ""While they are alive, serve them according to proper ritual. When they die, bury them according to proper ritual, and sacrifice to them according to proper ritual.""
Confucius, The Analects, Book 2, Chapter 5
Which of the following ideals does the passage above exemplify?",Filial piety,Forgiveness of wrongdoings,Respect for honesty and moderation,Monotheistic worship,A
"This question refers to the following information.
""The spontaneous forces of capitalism have been steadily growing in the countryside in recent years, with new rich peasants springing up everywhere and many well-to-do middle peasants striving to become rich peasants. On the other hand, many poor peasants are still living in poverty for lack of sufficient means of production, with some in debt and others selling or renting out their land. If this tendency goes unchecked, the polarization in the countryside will inevitably be aggravated day by day. Those peasants who lose their land and those who remain in poverty will complain that we are doing nothing to save them from ruin or to help them overcome their difficulties. Nor will the well-to-do middle peasants who are heading in the capitalist direction be pleased with us, for we shall never be able to satisfy their demands unless we intend to take the capitalist road. Can the worker-peasant alliance continue to stand in these circumstances? Obviously not! There is no solution to this problem except on a new basis. And that means to bring about, step by step, the socialist transformation of the whole of agriculture simultaneously with the gradual realization of socialist industrialization and the socialist transformation of handicrafts and capitalist industry and commerce; in other words, it means to carry out co-operation and eliminate the rich-peasant economy and the individual economy in the countryside so that all the rural people will become increasingly well off together. We maintain that this is the only way to consolidate the worker-peasant alliance.""
Mao Zedong, On the Question of Agricultural Co-operation, 1955
The developments described in the speech regarding the cooperation of the peasant economy contributed most directly to which of the following global processes?",The decline of Chinese influence in Asia and globally,The expansion of multinational corporations and globalization,The decline of Soviet-style communism and the rise of Maoism,The green revolution and development of more efficient agricultural techniques,A
"If a researcher uses daily data to examine a particular problem and creates a variable that assigns a numerical value of 1 to Monday observations, what term would best describe this type of number?",Continuous,Cardinal,Ordinal,Nominal,D
"Which statement best describes the process of absorption of vitamins from the intestine?
",All of the options given are correct,Vitamin E is absorbed by a protein which normally binds peroxidised fatty acids to scavenge them,It is necessary to dephosphorylate thiamine pyrophosphate or pyridoxal phosphate before they can be absorbed,Oxidised vitamin C (dehydroascorbic acid) is absorbed by a glucose transporter,A
"Which nutrient intake is fairly similar for countries in north and south Europe?
",PUFA,MUFA,SFA,Protein,A
"What is the energy need of a sedentary 43-year old woman who weighs 63 kg?
",1250 kcal/day,1350 kcal/day,1525 kcal/day,1800 kcal/day,B
"Which of the following is the most frequently used anthropometric measure to estimate body mass?
",Fat-free mass,Body fat,Body height,Body weight,D
What is meant by a grand strategy of 'primacy'?,Assurance of US parity with other powers,Striving for American dominance in the international system,Putting America's interests first,Promotion of America as the world's first democracy,B
The “sticky ends” generated by restriction enzymes allow,selection for plasmids lacking antibiotic resistance,pieces of DNA from different sources to hybridize to each other and to be joined together,replication of transfer RNA within the bacterial cell,easy identification of plasmids which carry an insert,B
 The Daoist concept of wuwei means which of the following?,Non-action,Contemplation,Meditation,Intentionality,A
Which of the following is NOT a category of Shari'ah law?,Criminal,Neutral,Unlawful,Commendable,A
Which of the following does authentication aim to accomplish?,Restrict what operations/data the user can access,Determine if the user is an attacker,Flag the user if he/she misbehaves,Determine who the user is,D
Which of the following statements is inaccurate?,Proportionality is a means of balancing the rights of an individual against the protection of the community as a whole,"For an act to be proportionate, it should be linked to the legitimate aim of the state measure complained of",Proportionality is the same as reasonableness,Proportionality should mean the state takes the least intrusive action that is necessary,C
Disqualification of directors may result from breaches under the,Sale of Goods Act 1979,Financial Services Act 1986,Companies Act 2006 and Insolvency Act 1986,Health and Safety at Work Act 1974,C
"When someone is aware of evidence that contradicts her claim, but doesn't consider that evidence when making her argument, she may have committed which of the following fallacies?",slippery slope,appeal to authority,appeal to pride,suppressed evidence,D
In a deductively valid argument,"If all the premises are true, the conclusion must be true",The conclusion has already been stated in its premises,"If all the premises are true, the conclusion may still be false",Both A and B,D
A company has a 22% investment in another company that it accounts for using the equity method. Which of the following disclosures should be included in the company’s annual financial statements?,The names and ownership percentages of the other stockholders in the investee company.,The reason for the company’s decision to invest in the investee company.,The company’s accounting policy for the investment.,Whether the investee company is involved in any litigation.,C
Sunshine Corp. a wholly owned subsidiary of Pierpoint Corp. purchased land from Pierpoint for its fair market value of $10000 on January 1 of the previous tax year. Pierpoint's adjusted basis of the land on the date of sale was $8000. During the current tax year Sunshine sold the land for $9000 to an unrelated taxpayer. What gain or loss will be reported on a consolidated tax return filed by Sunshine and Pierpoint for the current tax year?,"-$1,000",$0,"$1,000",2000,C
An auditor is considering whether the omission of the confirmation of investments impairs the auditor’s ability to support a previously expressed unmodified opinion. The auditor need not perform this omitted procedure if,The results of alternative procedures that were performed compensate for the omission.,The auditor’s assessed level of detection risk is low.,The omission is documented in a communication with the audit committee.,No individual investment is material to the financial statements taken as a whole.,A
Which of the following fraudulent activities most likely could be perpetrated due to the lack of effective internal controls in the revenue cycle?,Fictitious transactions may be recorded that cause an understatement of revenues and an overstatement of receivables.,Claims received from customers for goods returned may be intentionally recorded in other customers' accounts.,Authorization of credit memos by personnel who receive cash may permit the misappropriation of cash.,The failure to prepare shipping documents may cause an overstatement of inventory balances.,C
Which one of the following is not a characteristic of a bureaucratic organisation?,Authority,Regulations,Command structure,Change,D
Which of the following endocrine glands is NOT paired with a hormone that it produces?,pineal–melatonin,hypothalamus–thyroid-stimulating hormone,thyroid–thyroxine,adrenals–cortisol,B
Which of the following is caused by a teratogen?,Tay-Sachs disease,Klinefelter's syndrome,Turner's syndrome,Fetal alcohol syndrome,D
"According to the opponent process theory of emotions,",red emotions are followed by green emotions,happiness and unhappiness combine to keep someone relatively stable over a lifetime,repetitions of an emotion-arousing event strengthen the opposing emotion,opposing emotions after a primary emotion are always weaker than the primary one,C
Stimulation of norepinephrine receptors appears to produce,euphoria,increased motor activity,alertness,anxiety,C
"""Psychology is the science of behavior and mental processes,"" commonly defines psychology. In their definition of psychology, behaviorists would be likely to eliminate",I only,II only,III only,I and III only,C
Alyssa presents one group of shoppers with an advertisement for milk that is 99 percent fat free and another group of shoppers with an advertisement for milk that is 1 percent fat. What is Alyssa most likely testing?,representativeness heuristic,confirmation bias,schema,framing,D
Which of the following best summarizes the psychoanalytic perspective's view of behavior?,"Behavior is motivated by inner, unconscious forces.",Behavior is a response to external reward and punishment.,Behavior is a product of genetic programming and evolution.,Behavior is a compilation of the ways in which people think and interact.,A
The greenhouse gases that contribute to global warming are,water vapor,carbon dioxide,Both,Neither,C
Sound will travel fastest in,a steel beam,a wooden plank,ocean water,air in a balloon,A
A machine cannot multiply,forces,distances,energy,None of these,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cooked a juicy steak for my friend the magician. Scenario 2 | I stuffed jewelry down my pants while working the floor.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was upset so I stuck a fork in the toaster. Scenario 2 | I embraced my sister's newly widowed husband to show him I was interested.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I'm going to build a roomy bomb shelter just so I can save all of my stuff. Scenario 2 | I walked into church wearing my nicest suit.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left donations for the local thrift store outside its front door after it closed today. Scenario 2 | I decided to park my car inside the store.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was constantly taking time off of work because I was caring for my elderly parents. Scenario 2 | I engineered the bridge to fall down in the first stiff breeze.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Last night during dinner at my favorite restaurant, I bent a knee and proposed to my sister. Scenario 2 | I saw my peer spray paint a buildling and joined in when I was invited since this was a commissioned mural.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I feel so full of laughter when I pass by a car accident. Scenario 2 | I took the child to the mall and then forgot where in the mall the store is located.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cheered for the police officer as he helped the old woman. Scenario 2 | I looked up at the gorgeous chandelier and threw a rock at it.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always kept my whiskey bottles within reach for my 3-year-old son. Scenario 2 | I smiled when the girl was crying.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | To do better in my college course, I paid the tutor to tell me meaning of a question from my homework. Scenario 2 | I cut my granddaughter's hair while she was pampered.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poisoned the forest's trees. Scenario 2 | I gave the student a good grade because he gave me money.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I sent my teenage son to go get the groceries off the list. Scenario 2 | I arrested the mayor after a burglar broke into the mayor's house.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I saw the blind beggar, I put all my used tissues in his cup. Scenario 2 | I gave my four year old daughter a chocolate bar for dessert.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B
Inside a hollow conducting sphere,electric field is zero.,electric field is a non zero constant.,electric field changes with magnitude of the charge given to the conductor.,electric field changes with distance from the center of the sphere.,A
Which number system has a base of 16,Decimal,Octal,Hexadecimal,None,C
Who set the world record for the mile race in 1886?,R Bannister,S Coe,J DiMaggio,WG George,D
Which of the following is true regarding the examination of the legs?,Sustained clonus occurs with hypotonia,Clonus can only be demonstrated at the ankle,"The root value of hip flexion is L4, L5",The root value of toe extension is L5,D
Which of the following represents Cushing's response?,"Low blood pressure, tachycardia.","High blood pressure, tachycardia.","Low blood pressure, bradycardia.","High blood pressure, bradycardia.",D
Which of the following transactions would be included in the official computation of gross domestic product?,Josh buys a new pair of running shoes.,Nancy offers to babysit her granddaughter.,Max buys his dad's used car.,Eli cannot go to a concert so he resells his ticket to a friend.,A
The price of gasoline has recently increased while at the same time gasoline consumption has also increased. What is happening in the gasoline market?,This is evidence that contradicts the law of demand.,The price of crude oil has fallen shifting the supply of gasoline to the right.,A price ceiling has been imposed in the market for gasoline.,Consumers prefer larger automobiles shifting the demand for gasoline to the right.,D
In the circular-flow diagram households send to firms in return for,resources; spending,spending; resources,resources; wages and profits,goods and services; wages,C
Assume Country Z only produces hot dogs and buns. Given the table below what is the value of GDP in Country Z? Production      Price 4 hot dogs      $1.00 4 buns      $0.50,$1.50,$12.00,$6.00,$8.00,C
Assume Astobia and Bonavia are countries that exercise free trade. If the real interest rate in Astobia decreases in comparison to Bonavia's real interest rate then for Bonavia which of the following would be true of capital flow the value of its currency and its exports? Capital Flow     Currency     Exports,(A) outflow     appreciation     decrease,(B) outflow     appreciation     increase,(C) inflow     depreciation     decrease,(E) inflow     appreciation     decrease,D
"This question refers to the following information.
""As a means of effecting this end I suggest for your consideration the propriety of setting apart an ample district west of the Mississippi, and without the limit of any State or Territory now formed, to be guaranteed to the Indian tribes as long as they shall occupy it. . . . There they may be secured in the enjoyment of governments of their own choice, subject to no other control from the United States than such as may be necessary to preserve peace on the frontier and between the several tribes. There the benevolent may endeavor to teach them the arts of civilization. . . .
""This emigration would be voluntary, for it would be as cruel and unjust to compel the aborigines to abandon the graves of their fathers and seek a home in a distant land. But they should be distinctly informed that if they remain within the limits of the States they must be subject to their laws. . . .""
—President Andrew Jackson, 1829
Martin Luther King was in jail in Birmingham, Alabama, because of his belief in protesting injustice through the use of",targeted assassinations of segregationist public officials.,massive letter-writing campaigns denouncing segregated businesses.,violent self-defense.,nonviolent direct action.,D
"This question refers to the following information.
BECAUSE no People can be truly happy, though under the greatest Enjoyment of Civil Liberties, if abridged of the Freedom of their Consciences, as to their Religious Profession and Worship: And Almighty God being the only Lord of Conscience, Father of Lights and Spirits; and the Author as well as Object of all divine Knowledge, Faith and Worship, who only doth enlighten the Minds, and persuade and convince the Understanding of People, I do hereby grant and declare, That no Person or Persons, inhabiting in this Province or Territories, who shall confess and acknowledge One almighty God, the Creator, Upholder and Ruler of the World; and profess him or themselves obliged to live quietly under the Civil Government, shall be in any Case molested or prejudiced, in his or their Person or Estate, because of his or their conscientious Persuasion or Practice, nor be compelled to frequent or maintain any religious Worship, Place or Ministry, contrary to his or their Mind.…
—William Penn, Charter of Privileges Granted by William Penn,
esq. to the Inhabitants of Pennsylvania and Territories, October 28, 1701
Penn's Charter of Privileges can be seen as a forerunner to which of the following?",The Declaration of Independence,The Fourteen Points,The Gettysburg Address,The First Amendment to the Constitution,D
Lewis Henry Morgan's stages of human culture are known as:,Three-Age system.,Natural selection.,Multilineal evolution.,Unilineal evolution.,D
"The earthen monument called Mound 72 contained the burials of more than 270 people, including an adult male interred on a platform with 20,000 conch-shell beads in the shape of a giant bird. Mound 72 represents the most complex ______ society at ________.",Ancestral Puebloan; Pueblo Bonito,Hohokam; Casa Grande,Mississippian; Cahokia,Adena; Snaketown.,C
"Among Inca royalty, what happened following the death of the king?",the king's body was mummified and treated as if it were alive,hundreds of the elite were sacrificed by ritual decapitation,the body was entombed with lavish burial goods within an enormous pyramid,all of the above,A
Which of the following was NOT a factor in the extinction of the Neandertals?,They were specialized for an environment that suddenly changed.,Their tool technology was less advanced.,They were unsuited to the hotter climates of the sub-Saharan savanna.,The Neandertal body type required greater amounts of calories to sustain.,C
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~E ∨ F
~F / E",Valid,Invalid. Counterexample when E and F are true,Invalid. Counterexample when E is true and F is false,Invalid. Counterexample when E and F are false,D
